ID,Trial,Size,Time,Density,Feeding
1,11,"21,5",evening,10,7
1,9,"21,5",morning,15,10
1,1,"21,5",morning,23,13
1,3,"21,5",morning,35,17
1,14,"21,5",evening,52,45
1,13,"21,5",morning,78,48
1,7,"21,5",morning,117,100
1,5,"21,5",morning,176,92
1,6,"21,5",evening,263,111
1,12,"21,5",morning,395,78
1,2,"21,5",evening,593,111
1,10,"21,5",evening,889,126
1,4,"21,5",evening,1333,93
1,8,"21,5",evening,2000,128
2,3,"22,0",morning,10,5
2,6,"22,0",evening,15,6
2,9,"22,0",morning,23,10
2,13,"22,0",morning,35,21
2,11,"22,0",evening,52,24
2,1,"22,0",morning,78,17
2,5,"22,0",morning,117,83
2,8,"22,0",evening,176,67
2,7,"22,0",morning,263,110
2,14,"22,0",evening,395,89
2,2,"22,0",evening,593,95
2,4,"22,0",evening,889,107
2,10,"22,0",evening,1333,116
2,12,"22,0",morning,2000,115
3,7,"16,5",morning,10,10
3,9,"16,5",morning,15,12
3,5,"16,5",morning,23,21
3,3,"16,5",morning,35,32
3,1,"16,5",morning,52,51
3,13,"16,5",morning,78,56
3,11,"16,5",evening,117,22
3,14,"16,5",evening,176,99
3,12,"16,5",morning,263,103
3,2,"16,5",evening,395,102
3,6,"16,5",evening,593,115
3,8,"16,5",evening,889,118
3,10,"16,5",evening,1333,120
3,4,"16,5",evening,2000,112
4,9,"18,5",morning,10,3
4,3,"18,5",morning,15,3
4,7,"18,5",morning,23,4
4,13,"18,5",morning,35,9
4,11,"18,5",evening,52,12
4,5,"18,5",morning,78,14
4,1,"18,5",morning,117,17
4,14,"18,5",evening,176,24
4,12,"18,5",morning,263,19
4,6,"18,5",evening,395,34
4,8,"18,5",evening,593,26
4,4,"18,5",evening,889,38
4,2,"18,5",evening,1333,51
4,10,"18,5",evening,2000,53
5,5,"16,0",morning,10,7
5,11,"16,0",evening,15,14
5,7,"16,0",morning,23,24
5,13,"16,0",morning,35,27
5,9,"16,0",morning,52,50
5,1,"16,0",morning,78,67
5,3,"16,0",morning,117,47
5,14,"16,0",evening,176,87
5,10,"16,0",evening,263,81
5,12,"16,0",morning,395,107
5,4,"16,0",evening,593,69
5,6,"16,0",evening,889,82
5,8,"16,0",evening,1333,102
5,2,"16,0",evening,2000,101
6,9,"15,5",morning,10,7
6,5,"15,5",morning,15,5
6,3,"15,5",morning,23,3
6,1,"15,5",morning,35,5
6,7,"15,5",morning,52,28
6,11,"15,5",evening,78,23
6,13,"15,5",morning,117,33
6,14,"15,5",evening,176,39
6,12,"15,5",morning,263,69
6,10,"15,5",evening,395,71
6,6,"15,5",evening,593,62
